eID,eName,jurisdictionID
85029413,ANGELY MINIMARKET,AW
85040563,M.A.T.S. (MICHAEL ALWAYS THERE SERVICES),AW
200804054,The Upshon Media Limited Staff Remuneration Trust,KNA
55009695,TOURINGCLUB (M) DEVELOPMENTS LIMITED,MLT
55069632,LAMBERG HOLDINGS LIMITED,MLT
30015024,WINDYGATES LIMITED,BHS
200116171,HARVEST INTERNATIONAL LIMITED,KNA
85011770,MERANT TECHNOLOGY N.V. (I.L.),AW
200118765,LUZON LTD,KNA
30001867,BRITISH OVERSEAS HOLDINGS LIMITED,BHS
55023758,LOFARO LIMITED,MLT
30015202,PRIME REALTY COMPANY LIMITED,BHS
55032858,MEDCROSS LIMITED,MLT
55069956,CH.M.G. HOTELS LTD,MLT
82014508,Peel Ports (IOM) Limited,IMN
200804313,Anella Trust,KNA
85020529,T.R.C. CLEANFIX NV,AW
82010975,HIGH ROCK INVESTMENTS LTD.,CYM
85014652,CAR DEPOT,AW
101511136,"VWE (BARBADOS) FSC, INC.",BRB
200136699,CONFIDENCE SHIPPING LIMITED,KNA
82001731,"Rayner, Bartkiw & Kelly Advertising Limited",BMU
82041777,Brookfield MAPS Holdings L.P.,BMU
55018975,PROPERTY F LTD,MLT
82023449,Exfocom Limited,VGB
100327024,SKIP MASTER INC.,BRB
55071344,ZAATAR LIMITED,MLT
200514711,"DRESDEN PARTNERS, LLC",KNA
100320650,ROCK THE WORLD ENTERTAINMENT LTD.,BRB
55001908,INTERNATIONAL MANAGEMENT CENTRES LTD,MLT
55068015,HI-TEK MANUFACTURING LIMITED,MLT
100324013,MELAND CONSULTANTS LTD.,BRB
85019610,THOMARUBA BV (I.L.),AW
85047764,EL ELEGIDO DE LAS DIVAS BEAUTY SALON,AW
85048288,N.M. WOUTERS FINANCIAL SOLUTIONS & SERVICES VBA,AW
55028224,"THE NEWARK REFRIGERATION, AIR CONDITIONING, ENGINEERING COMPANY LIMITED",MLT
101714336,WESTAIM INTERNATIONAL SURFACE ENGINEERED PRODUCTS INC.,BRB
55005583,TRADING IMAR LIMITED,MLT
55005592,DARRELL LEA FOODS LIMITED,MLT
85012248,FORSYTHIA INVESTMENTS A.V.V.,AW
82017529,"ZZZ-Meridian Global Advantage,  Ltd.",CYM
200117645,"MCR INC. REINSURANCE COMPANY, LTD.",KNA
200508174,"HZ, LLC",KNA
82014162,HedgeCo Hybrid Ltd.,VGB
82009645,WESTWARD INVESTMENTS LIMITED,VGB
55017298,MARKSMAN SHIPPING LIMITED,MLT
200145416,VICTORIA SHIPPING CORP. INC.,KNA
200801582,GABRIEL TRUST,KNA
55041073,Norwood Capital Ltd.,MLT
200138577,"North Atlantic Consultants, Inc",KNA
85007917,ME.LI.SA. FILMS INTERNATIONAL A.V.V.,AW
55082309,MACROSS LIMITED,MLT
200111066,AMERI-CARIB INVESTMENTS AND CONSULTANTS LTD.,KNA
200122553,EURO HOLDINGS INTERNATIONAL LTD.,KNA
82010088,Africa Railways Holding,MUS
85039398,LUMJANMAR TECH N.V.,AW
30021596,FREEPORT SERVICES LIMITED,BHS
200116761,PASEO S.A.,KNA
200127771,W.I.T.A.R. Inc.,KNA
82012528,Guilford Exploration LDC,CYM
55054374,PESCIOLINA LTD,MLT
85030181,BEST OFFER HOME BUILDERS,AW
85015556,GOLDY CONTRACTORS OVERSEAS A.V.V.,AW
85026442,LICORES & AROMAS N.V.,AW
30000349,FIRST OF NASSAU COMPANY LIMITED,BHS
55046967,CARS INTERNATIONAL LIMITED,MLT
82020017,Ephesian Capital,CYM
55064462,LERIC GROUP LIMITED,MLT
200108950,K.S. INC.,KNA
101821680,THE BARBADOS ASSOCIATION OF PERSONS WITH DOWN SYNDROME INC,BRB
82025348,Alpha Exploration Ltd.,BMU
55057110,Unity 1 Ltd.,MLT
55040201,VALLENTINA SHIP MANAGEMENT LIMITED,MLT
55020861,ALPHA VENTURES LIMITED,MLT
30010450,BAHAMAS PACKAGE CARRIERS LIMITED,BHS
85021980,CUSTOMS CLEARANCE EXPRESS,AW
101721865,N.W. CORP.,BRB
100307322,VIGO INVESTMENTS LIMITED,BRB
55005245,TRILLIUM INVESTMENTS CO. LIMITED,MLT
200129313,GENERAL ADVISORS LIMITED,KNA
85034678,A.M. BAROUD APARTMENTS N.V. - ISLA BUNITA BUSINESS CENTER,AW
30021529,BURWASH MINING LIMITED,BHS
85049535,KCD MARINE ELECTRICAL SERVICES,AW
82004566,"Duke Energy International Holdings No. 3, Ltd.",BMU
101104401,C.L. INSURANCE MANAGEMENT LIMITED,BRB
200128062,Bayou Marketing Inc,KNA
100326106,SELECT PUBLISHING INC.,BRB
85043410,EIKON EMPLOYMENT AGENCY N.V.,AW
85039032,CELLULARXPRESS,AW
200517301,GMANEV LLC,KNA
55067257,BASTION WEALTH LIMITED,MLT
200123204,SUN PEAKS INC.,KNA
82011265,164 Aviation Ltd.,CYM
30022007,CARROLLS VILLAGE ROAD LIMITED,BHS
55060379,CST COMPANY LIMITED,MLT
200110039,PHOENIX INTERNATIONAL FORUM LTD.,KNA
30012870,AINTREE INVESTMENTS LIMITED,BHS
55067042,MED INVESTMENT OPERATIONS LTD,MLT
55044585,LIALUX LIMITED,MLT
200109154,OCEAN TRADING INC.,KNA
55007430,HERMOUPOLIS MARITIME CO LTD,MLT
55063913,BORDA GEE LTD,MLT
200140004,WESTBOURNE INVESTING & CONSULTING COMPANY,KNA
100322425,EDMONDO & PINKIE HEAVY EQUIPMENT PARTS &SUPPLIES INC.,BRB
100331814,PASSION NETWORK INC.,BRB
85021375,MASTER CONSTRUCTION,AW
85001265,PARADERA STORE & RUM SHOP,AW
55066401,NIMA SHIPPING CO LTD ( D 2418 ),MLT
200139213,Marlow Properties (Nevis) Limited,KNA
55033752,PLUM GAMING LIMITED,MLT
200126930,Ninety Four Delta Invest Limited,KNA
82017126,ZZZ-LLEN TRADING INC.,CYM
30004684,OCEANUS LIMITED,BHS
55074930,NEGBASIS BOX LIMITED,MLT
101513810,SHAW FOREIGN SALES CORPORATION,BRB
85014574,FUTURE INVESTMENTS II A.V.V. (I.L.),AW
85048117,TRADICION ZULIANA,AW
55065369,PORTEM REAL ESTATE AND DEVELOPMENTS LIMITED,MLT
55037564,AURAGENIX SERVICES LIMITED,MLT
55034227,TERRA SEIS MIDDLE EAST LIMITED,MLT
200133599,Q INTERNATIONAL SERVICES LIMITED,KNA
200120401,YEOMAN INTERNATIONAL LTD.,KNA
55032358,CASSAR HOLDINGS COMPANY LIMITED,MLT
100317954,CIRCUIT ELECTRONICS INC,BRB
82011523,Cody Gate Ventures G.P. Limited,CYM
200124161,SPA CONSULTORIA FINANCEIRO S.A.,KNA
55019144,CONSULTIME LIMITED,MLT
200503653,DIGITAL CURRENCY INVESTMENTS LLC,KNA
200140194,Shiv Shankar International Trading ltd.,KNA
200117279,PENNICK ASSOCIATES LTD.,KNA
200143856,ALFAROUK SHIPPING LTD.,KNA
100326918,CLEMORO INC.,BRB
200803833,Benny Trust,KNA
55031926,PSI HOLDINGS LTD,MLT
101705507,CANADIAN PETROLEUM VIETNAM LTD.,BRB
55014290,BIOSAL MALTA LTD,MLT
85048908,M/S MULTI SERVICES,AW
55082588,VIGO 1702 LIMITED,MLT
55074643,LUTEA HOLDINGS LTD,MLT
100106915,HANSCHELL INNISS LIMITED,BRB
55053677,GRAYCLIFF LIMITED,MLT
100329993,PEACEHAVEN HOLISTIC THERAPY SCHOOL INC.,BRB
200500609,MINOS LLC,KNA
55030135,AMORGOS SHIPPING CO LTD,MLT
85003547,A&A SERVICES COMPANY,AW
55032023,SCHOONHEYT CAPITAL LTD,MLT
55035059,SuDev Projects Limited,MLT
55048989,AMICORP SERVICES LIMITED,MLT
200512571,"Abraxas Holdings, LLC",KNA
85015803,WILLARD A.V.V.,AW
55051813,MALTA INTERNATIONAL TRAINING CENTRE LIMITED,MLT
100613872,EMNETH LIMITED,BRB
100313188,CYMAN FOODS LTD.,BRB
55077503,CHARTS INVESTMENT MANAGEMENT SERVICE LIMITED,MLT
200102582,INVESTMENT INTERNATIONAL INC.,KNA
55083516,MALTA TRANSPORT AND TRADING CO. LTD,MLT
82010149,Dalton Distressed Credit (Offshore Feeder) Fund Ltd.,CYM
30012513,SANDY'S LIMITED,BHS
55085180,ABC PHARMA & CO,MLT
55011062,RINGINVEST INTERNATIONAL TRADING CO (MALTA) LTD,MLT
55028525,AVIR SHIPPING COMPANY LIMITED,MLT
55051431,TRADE LINK HOLDING LIMITED,MLT
85028018,MANTENIMIENTO NUEVO MILLENIUM,AW
85028729,CALEDONIA PROPERTIES N.V.,AW
85020015,NEWINGTON A.V.V.,AW
200801916,THE PAXIS TRUST,KNA
55059938,EYETEL LTD,MLT
85017709,MIAMI RENT A CAR NV,AW
200136792,BUCKWHEAT INVESTMENT MANAGEMENT LIMITED,KNA
55010899,GOLDHAWK ENTERPRISES LTD,MLT
55016655,RICINUS LIMITED,MLT
55083234,MEDITERRANEAN SERVICES LTD.,MLT
200801337,LOCHNAGER INVESTMENTS,KNA
55023737,ECO OFFICE CONSUMABLE SUPPLIES LTD,MLT
200503192,"BUSINESS OPPORTUNITIES HOLDINGS, LLC",KNA
55009178,PIZZA FRANCHISING INTERNATIONAL LIMITED,MLT
85009198,NATIONAL LIFE INSURANCE AGENCIES N.V.,AW
55063110,NDR CONSULTING LIMITED,MLT
200117689,DGC INVESTMENTS INC.,KNA
82019783,"ALM VII, Ltd.",CYM
82014739,Athena Securities (Bermuda) Ltd.,BMU
100329054,CARIBBEAN SEAVIEW LTD.,BRB
85017383,DRUMMOND AVV (I.L.),AW
101725585,SJK INVESTMENTS INC.,BRB
55038112,KAIROS SHIPPING LTD,MLT
85002566,COSMETICS STRADA,AW
55041160,PHX GROUP LIMITED,MLT
30012196,ORGANICS INTERNATIONAL INVESTMENTS COMPANY LIMITED,BHS
55056410,GAIA SERVICES LIMITED,MLT
30012899,COMMONWEALTH AMERICAN REAL ESTATE LTD,BHS
55011486,OCEANBULK SHIPPING AND TRADING LIMITED,MLT
200501864,ARTIFICIAL INTELLIGENCE LLC,KNA
65001114,Y-NOT LIMITED,WSM
85006067,ARUBANITA,AW
85009768,SUPPRA INVESTMENTS A.V.V.,AW
101722457,ROBERTSON CONSULTING GROUP INC.,BRB
200141418,HSEJAR MARITIME INC,KNA
100332752,MEDICAL SKIN SERVICES INC,BRB
30000124,BAHAMAS GULF OIL COMPANY,BHS
85023486,NORTHAM HOLDINGS A.V.V.,AW
55012994,BLUEWATER INVESTMENTS LIMITED,MLT
85029805,ERATON A.V.V. (I.L.),AW
200107870,REXAR INTERNATIONAL INC.,KNA
82013552,The Vanguard Risk Arbitrage Investment Star Trust,CYM
55016592,BAY STREET OPERATIONS LIMITED,MLT
100611240,CARIB EXPRESS LIMITED,BRB
82020958,CC ENERGY LIMITED,VGB
100324251,ANNE TAYLOR HOLDINGS LTD.,BRB
30022430,CHARTOIL LIMITED,BHS
200138507,BATTERY KNOWLEDGE LTD,KNA
85011682,CORAL A.V.V.,AW
55075414,FREEDOM ONE HOLDING LTD,MLT
85014824,DEEP VALLEY A.V.V.,AW
55010643,HYKSOS TRADING LTD ( D 5297 ),MLT
200122025,TIVERTON TRADING CORP,KNA
200140036,DAKOTA MARITIME INC.,KNA
85018697,F & M CONSULTANCY/COMPUTER-SERVICES,AW
100301739,MANAGEMENT INFORMATION SERVICES (B'DOS) LTD.,BRB
82000758,WESTERN METAL SALES LIMITED,BMU
82012578,Phael Limited,CYM
30000258,"ISLAND FISHERIES ASSOCIATION LIMITED, THE",BHS
55053755,Rittersberg Holding Limited,MLT
55076292,MALTA INVEST & TRADING COMPANY LTD.,MLT
55027499,FREELINE (MALTA) LIMITED,MLT
55083004,EXPETRA SHIPPING COMPANY LIMITED,MLT
85027725,DIAZ-B-SERVICES,AW
55035594,REYSAS MALTA SHIPPING AND TRADING CO LTD,MLT
55028274,MEGA TURNKEY CO LTD,MLT
55026579,TWISTER MEDIA HOLDINGS LIMITED,MLT
200116136,IVORY TOWER LIMITED,KNA
100303819,ISLAND TRUCKING INCORPORATED,BRB
200116641,"W & C ENTERPRISES, LTD.",KNA
200102270,"EDWARD RUSSELL, LTD.",KNA
101500161,COOLEY INTERNATIONAL INC.,BRB
85013791,PALOMEU A.V.V.,AW
100331760,IDEAL CONSTRUCTION (BARBADOS) LIMITED,BRB
200144847,BAHAMAS Trust Company Limited,KNA
200512764,QUARRY I LLC,KNA
55032057,ANASTASI BROS (1876) LIMITED,MLT
101736297,CARTA (BARBADOS) LTD.,BRB
85014780,ASPEN CORPORATION A.V.V.,AW
101509164,FORE SYSTEMS INTERNATIONAL INC.,BRB
100309155,JBM INC.,BRB
101300957,SHRIKE INVESTMENTS SRL,BRB
100319760,PLATEAU INC.,BRB
200140260,Colour Investments Limited,KNA
200512564,"New Leaf Properties, LLC",KNA
82023701,Securis Re II Ltd.,BMU
200139203,Vanzogh Corporation,KNA
200101450,"SEVEN SEAS HOLDING, CORP.",KNA
200109505,MOIDORE LTD.,KNA
200127573,Seymour Holdings Ltd.,KNA
55054287,AL VIRTUS LIMITED,MLT
55055843,GAMMA INTERNATIONAL LIMITED,MLT
55005896,GOLDEN NORTH SHIPPING CO LTD,MLT
85012648,DUITS INTERNATIONAL A.V.V.,AW
200140920,ALC TRUST INC.,KNA
100301291,CARIBBEAN BUILDING SERVICES LIMITED,BRB
200509768,CARIBBEAN PROPERTIES INTERNATIONAL LLC,KNA
200103849,DEVELOPMENT CORPORATION,KNA
200110936,"FIRST JUPITER INVESTORS, LTD",KNA
30021369,TACPAR LIMITED (CONTINUED AS IBC #3454B),BHS
55061380,J.F.J. SUPPLIES LIMITED,MLT
30011671,PERTH INVESTMENTS LIMITED,BHS
200140683,"SAS PROPERTY & CASUALTY CO., LTD.",KNA
100308541,MIJ INVESTMENT INC.,BRB
101500186,"HILOADER INTERNATIONAL, LTD.",BRB
82023421,"Caribbean Port Construction, Limited",VGB
100333184,TIMOTHY OULTON INC.,BRB
200140918,HELOCOR ENTERPRISES INC.,KNA
85009169,REAL PROPERTY INVESTMENTS A.V.V.,AW
200129397,Pennies From Heaven Incorporated,KNA
200504501,"GIBRALTAR ASSOCIATES, LLC",KNA
100302399,GCR INVESTMENTS INC.,BRB
30014836,NURBITON LIMITED,BHS
82008380,NIKE Waffle,BMU
55026262,COMFORT HOMES LIMITED,MLT
200507151,"HUMBLE ABODE, LLC.",KNA
82024485,Mizzen Management Bermuda Ltd.,BMU
200145603,International Manager Cup GOLF Ltd,KNA
82005783,Caterpillar (Bermuda) Investments Parent Company,BMU
30014849,"NU-WAY ELECTRIC COMPANY, LIMITED",BHS
200146476,CONSTRUCTION INTERNATIONAL COMMERCIAL LTD,KNA
55010129,INNOVATIVE DEVELOPERS LIMITED,MLT
82002766,Agamath Limited,BMU
100325370,ARCADIA SENIOR CITIZENS HOME INC.,BRB
82019359,African Gold Quest Ltd.,VGB
55087282,LINETECH INVESTMENTS,MLT
85007299,BONICK GAS & OIL TERMINAL N.V.,AW
55011288,GRAVITY LIMITED,MLT
85021583,PRONTOMAR,AW
200108776,PANDA TRUSTEE LTD,KNA
200800851,JENNER FINANCES,KNA
200146362,Beach Founders Property Corp.,KNA
85010400,ACE CARGO SERVICE,AW
55022279,PILCON LIMITED,MLT
55057227,MOUNT COMMODITIES LIMITED,MLT
82018870,ZZZ-Barakett Holdings Offshore Ltd,CYM
55068654,MARINA DEVELOPERS CONSULTANCY LIMITED,MLT
55015868,TANDEM SHIPPING LIMITED,MLT
55058768,BRIDE LTD - THE,MLT
85005852,ALIMOR TRANSPORT INTERNATIONAL N.V.,AW
55052334,NPM INTERNATIONAL LIMITED,MLT
82023892,Westbridge Holdings Limited,CYM
100312019,PACIFIC CENTURY GC HOLDINGS (BARBADOS) LIMITED,BRB
85034468,NOTARISKANTOOR MR. M.J.C. TROMP N.V.,AW
55006967,SHEEL INTERNATIONAL TRADING LIMITED,MLT
200122099,YORK PRODUCTS INC.,KNA
55076132,Waterman & Westinghouse Ltd.,MLT
55052576,RM ESTATES LIMITED,MLT
200101111,C M C CORPORATION,KNA
85004408,TAMANACO ARUBA,AW
55053102,LNG MALTA BAREBOAT INVESTMENT 2 LIMITED,MLT
85041720,SALOMON CONTRACTOR,AW
200132247,J & J GLOBAL ASSETS INC,KNA
55075839,GRAVIDOR HOLDING LIMITED,MLT
200128504,Southmount Capital Limited,KNA
200122080,"SAN JUAN TRUSTEES, LTD.",KNA
100317585,WALCOTTAGE LIMITED,BRB
100338266,NORTHSIDE ENERGY SYSTEMS INC.,BRB
200510778,Evagreen Investments LLC,KNA
200111641,WINGED STAR LTD.,KNA
55019385,MIKE BRAVO SHIPPING LIMITED,MLT
55069517,ALF. PROPERTIES LTD,MLT
200508736,MANDARIN INVESTMENT HOLDING LLC,KNA
101508030,SVEDALA INDUSTRIES INTERNATIONAL INC.,BRB
200139998,DIAMOND FINANCIAL LIMITED,KNA
55059057,CLICKR GREEN LTD.,MLT
200802931,THE ML TRUST SETTLEMENT,KNA
85037933,ACQUA CONSTRUCTION N.V.,AW
30019986,CARIBBEAN CONSULTANTS & AGENCIES (1979) LTD,BHS
85042146,CONSTRUCTIE BEDRIJF NOGERA,AW
200514032,"Dittoemes & Company, LLC",KNA
55017836,RESCHTON CO LTD.,MLT
100330271,QUERTIER GROUP INC.,BRB
200108103,G. D. MARKETING LTD.,KNA
100306503,COCONUT CAR RENTALS LIMITED,BRB
100328202,NICHOLLS TAXI SERVICES INC.,BRB
200505824,"QUAESTOR, LLC",KNA
82019800,"ECP CLO 2012-3, Ltd. Trust",CYM
30002085,FENBY DIRECTORS LIMITED I. ERKO LIMITED,BHS
55029969,CORAL INVESTMENTS LIMITED,MLT
55085066,DEEPkreations,MLT
55087445,SGA SOCIETE GENERALE ACCEPTANCE N.V.,MLT
101732723,PIRIFORM (BARBADOS) LTD.,BRB
55029131,FRIEDA NAVIGATION CO. LTD,MLT
200803938,QUENTE TRUST,KNA
55047887,K&P ATLANTIC LTD,MLT
200147554,PROACTIVE ENTERPRISES CORP.,KNA
30013256,AMERICANOS DEL NEGOCIO LIMITED,BHS
200105652,TORRAY DEVELOPMENTS S.A.,KNA
82023345,The Shaw Discretionary Trust,SYC
200506388,AUGUSTAH LLC,KNA
200117857,2ND WIND LIMITED,KNA
55009218,LANGUAGES PLUS LIMITED,MLT
101300625,PARADISE INVESTMENT SRL,BRB
200501132,COBALT LLC,KNA
85018716,ASSUMAR NV (I.L.),AW
55060679,IPROPERTY LIMITED,MLT
55030952,GTA INDUSTRIAL MALTA 1 LIMITED,MLT
30002150,BARBARA BEAUTY SALONS LIMITED,BHS
200104835,ROCHESTER INVESTMENT CORPORATION,KNA
55046533,PALTRANS HOLDING COMPANY LIMITED,MLT
85021916,VIEIFRA GENERAL CONTRACTORS,AW
200133827,Safer Service Ltd.,KNA
55080347,V. J. & ANT. BORG CO. LTD,MLT
30015462,A. & W. CONSULTANTS LIMITED,BHS
85014075,CORDOVA A.V.V. (I.L.),AW
100309833,P.M.T. INVESTMENTS INC.,BRB
55000626,REMEDIES LIMITED,MLT
200142829,Funtimes Limited,KNA
200141387,VVR INCORPORATED,KNA
200118039,FIRST GLASGOW TRUST SERVICES INC.,KNA
101713143,EL SALADO DEVELOPMENTS INC.,BRB
85038822,YEICY REAL ESTATE ARUBA,AW
100600892,SOCIETE FRANCAISE D'EQUIPEMENT PAPETIER S.F.E.P.,BRB
55002183,ST. JOHN CLOTHING CO LTD,MLT
200508859,"Lyon Capital, LLC",KNA
55015294,PILTZ MACHINES LIMITED,MLT
82018840,LADYHILL FUND,CYM
85042862,JAN LINKER CONSULT,AW
85047473,CONTRACTOR CHANG,AW
82001042,Tiana Limited,BMU
200131560,Eclipstex Ltd,KNA
55084360,VIPER HOLDINGS,MLT
101814252,TEEN CHALLENGE OF BARBADOS INC.,BRB
82003917,Wired Atlantic Limited,BMU
100904200,BRAESIDE LIMITED,BRB
55002347,IL-CUCCIOLO LTD,MLT
30018250,MONTINI DEVELOPMENT ESTABLISHMENT,BHS
200137688,AlpineView SA,KNA
200127333,"Equimune Research Enterprises, Inc.",KNA
55023382,AURORA PROPERTIES LIMITED,MLT
200133870,MEM SHIPPING AND TRADING INC.,KNA
30008162,THE TRIBUNE LIMITED,BHS
55051999,RJ RAPID LTD,MLT
101722945,PINNACLE CONCEPTS INC.,BRB
200106149,PERWICK HOLDINGS LIMITED,KNA
101517837,INTERTAPE POLYMER EXPORT INC.,BRB
100321905,AGAPE DENTAL SERVICES INC.,BRB
85046686,CAPELLA REAL ESTATE VBA,AW
100625863,ILKLEY HOLDINGS LIMITED,BRB
101512166,HOUGHTON FSC LTD.,BRB
55066094,EAST EUROPE RENT LIMITED,MLT
55012342,DEEP WATER CO. LIMITED,MLT
55044063,M & M YACHTING LIMITED,MLT
30002953,BUTLER & SANDS (OUT ISLANDS) COMPANY LIMITED,BHS
100326138,BEL-WEIR INC.,BRB
85041334,LUMINIS CONSULTING,AW
200103548,DRUM INTERNATIONAL LIMITED,KNA
82019327,ZZZ-P/E MANAGED TRUST ( QUEENSBORO PLUS FUND),CYM
200128361,Fifty Seven Omicron Invest Limited,KNA
200128324,Thirty Two Omicron Invest Limited,KNA
82001484,T-I-E  Limited,BMU
55020873,SECURICASH LIMITED,MLT
82005770,"Dole Foreign Holdings, Ltd.",BMU
55029187,INNOVATIVE PROJECTS LIMITED,MLT
85037065,PECOVEN CONTRACTOR & SERVICES,AW
55040969,SECURE RISKS MALTA LIMITED,MLT
100337253,KINGDOM PETS INC.,BRB
55023216,BRT SECRETARIES LIMITED,MLT
55080706,SCH MANAGEMENT SERVICES LIMITED,MLT
30004884,GUARANTY TRUST BANK LIMITED,BHS
55059409,WATERMARKS CONSULTING LIMITED,MLT
200506866,"HICKORY VALLEY INVESTMENTS, LLC",KNA
55033974,MELFORT LIMITED,MLT
200119343,"MID-ATLANTIC CONSULTANTS, LTD.",KNA
200141234,Urica Overseas Corp,KNA
85035311,NAZIRA CEL,AW
55059806,NIG SHIPPING AND TRADING LTD,MLT
55006106,INTERTECNICA PARTS AND TECHNICAL SERVICES LTD,MLT
200135065,COGITO VENTURES LTD.,KNA
85024616,REGIO TRADING,AW
200116858,KLYNEVEST LIMITED,KNA
85020506,HET FRIETJE,AW
200111275,LANCASTER PARTNERS INC.,KNA
55081092,HALLIBURTON LTD.,MLT
200512156,United Ridge LLC,KNA
100312765,OFFSHORE BUSINESS SERVICES INC.,BRB
85001232,KOCK AGENCY,AW
100335399,T E A R INC,BRB
85005272,ARUBA FARM SUPPLY CENTER,AW
55076343,4DELTA INTERNATIONAL LIMITED,MLT
55040645,ICAMET COMPANY LIMITED,MLT
55034258,D H S HOLDINGS (MALTA) LTD,MLT
30009927,WOODSIDE HOLDINGS (BAHAMAS) LIMITED,BHS
200100290,PHILIPPINE MINING LTD,KNA
82013560,W.M.D. Family Trust,CYM
30014323,W.G. SCOON HOLDINGS LIMITED,BHS
100340410,ONE 246AGRIPRENEURS INC.,BRB
200112360,ANTIMONI S.A.,KNA
55018080,SEA CLIFF TOURIST CO. LTD. ( D 845 ),MLT
